Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Syracuse,Weekly,2/7/2021 0:00,Conventional,0.91,147664.68,16497.98,72915.29,542.73,54257.44,49109,3091.77,2056.67,3451.24
Tampa,Weekly,2/7/2021 0:00,Conventional,0.78,917261.75,374727.93,35220.4,12.33,222426.63,125735.38,96674.58,16.67,284874.46
Total U.S.,Weekly,2/7/2021 0:00,Conventional,0.81,64694488.31,16634568.43,11860269.41,1272487.08,14737223.4,11779408.97,2665911.08,291903.35,20189939.99
West,Weekly,2/7/2021 0:00,Conventional,0.79,10597360.03,2132628.08,1298783.13,34507.71,1826294.91,1505311.1,291272.15,29711.66,5305146.2
West Tex/New Mexico,Weekly,2/7/2021 0:00,Conventional,0.6,1565685.26,454451.5,242691.09,23001.75,464127.62,325597.3,138496.99,33.33,381413.3
Albany,Weekly,2/7/2021 0:00,Organic,1.29,4305.59,59.91,597.75,0,3462.92,2193.14,1269.78,0,185.01
Atlanta,Weekly,2/7/2021 0:00,Organic,1.4,45076.51,67.2,3183.71,0,21187.04,9515.16,11671.88,0,20638.56
Baltimore/Washington,Weekly,2/7/2021 0:00,Organic,1.15,106165.35,641.37,4061.19,11.63,99009.01,94843.98,4165.03,0,2442.15
Boise,Weekly,2/7/2021 0:00,Organic,1.2,11486.81,14.7,1109.12,0,2996.29,1568.89,1427.4,0,7366.7
Boston,Weekly,2/7/2021 0:00,Organic,1.5,68875.81,276.89,2725.34,0,65605.68,63949.17,1656.51,0,267.9
Buffalo/Rochester,Weekly,2/7/2021 0:00,Organic,1.4,21794.13,1147,141.25,0,20505.88,20505.88,0,0,0
California,Weekly,2/7/2021 0:00,Organic,1.68,390051.91,19605.16,27108.04,17.12,175260.68,122984.14,52276.54,0,168060.91
Charlotte,Weekly,2/7/2021 0:00,Organic,1.31,18641.88,89.08,3424.65,44.04,13472.24,13467.92,4.32,0,1611.87
Chicago,Weekly,2/7/2021 0:00,Organic,1.17,150860.82,1608.12,18479.37,0,31041.17,13097.37,17943.8,0,99732.16
Cincinnati/Dayton,Weekly,2/7/2021 0:00,Organic,1.38,24751.6,467.86,2913.02,0,8171.33,2354.47,5816.86,0,13199.39
Columbus,Weekly,2/7/2021 0:00,Organic,1.32,14929.85,806.47,1134.28,0,6871.17,2583.33,4287.84,0,6117.93
Dallas/Ft. Worth,Weekly,2/7/2021 0:00,Organic,1.14,64007.38,3419.05,801.82,298.74,42707.69,25365.11,17342.58,0,16780.08
Denver,Weekly,2/7/2021 0:00,Organic,1.04,74660.26,5450.85,1124.47,0,34115.79,11384.71,22731.08,0,33969.15
Detroit,Weekly,2/7/2021 0:00,Organic,1.24,30844.76,436.09,2777.9,0,15837.75,6211.32,9626.43,0,11793.02
Grand Rapids,Weekly,2/7/2021 0:00,Organic,1.07,9910.88,24.34,1098.06,0,8788.48,8779,9.48,0,0
Great Lakes,Weekly,2/7/2021 0:00,Organic,1.22,357355.62,7709.55,34597.29,0,148235.63,83671.51,64429.95,134.17,166813.15
Harrisburg/Scranton,Weekly,2/7/2021 0:00,Organic,1.17,24589.14,308.34,593.17,0,23667.56,23533.27,134.29,0,20.07
Hartford/Springfield,Weekly,2/7/2021 0:00,Organic,1.59,33859.81,446.3,8529.86,0,24773.87,24773.87,0,0,109.78
Houston,Weekly,2/7/2021 0:00,Organic,1.16,31911.76,4148.38,116.09,0,14252,1005.55,13246.45,0,13395.29
Indianapolis,Weekly,2/7/2021 0:00,Organic,1.25,12677.15,103.7,950.74,0,7132.45,2574.67,4557.78,0,4490.26
Jacksonville,Weekly,2/7/2021 0:00,Organic,0.86,8071.44,44.24,245.51,0,7656.39,4325.56,0,3330.83,125.3
Las Vegas,Weekly,2/7/2021 0:00,Organic,1.36,18246.15,730.95,405.27,0,8430.27,4634.44,3795.83,0,8679.66
Los Angeles,Weekly,2/7/2021 0:00,Organic,1.6,185056.44,7084.18,2862.26,7.87,75286.93,28796.66,46490.27,0,99815.2
Louisville,Weekly,2/7/2021 0:00,Organic,1.38,10661.41,3,843.35,0,5269.62,248.05,3834.49,1187.08,4545.44
Miami/Ft. Lauderdale,Weekly,2/7/2021 0:00,Organic,0.88,26393.89,560.31,9.26,0,25824.32,24380.57,0,1443.75,0
Midsouth,Weekly,2/7/2021 0:00,Organic,1.18,371672,2437.76,27144.26,151.37,290660.76,225860.54,48802.3,15997.92,51277.85
Nashville,Weekly,2/7/2021 0:00,Organic,1.29,25055.84,23.07,1715.93,0,14074.29,1669.93,8011.86,4392.5,9242.55
New Orleans/Mobile,Weekly,2/7/2021 0:00,Organic,0.85,12586.51,74.37,43.06,0,11269.49,3074.03,8195.46,0,1199.59
New York,Weekly,2/7/2021 0:00,Organic,1.48,163597.61,12075.24,8789.79,839.54,135986.49,135983.16,3.33,0,5906.55
Northeast,Weekly,2/7/2021 0:00,Organic,1.42,455808.24,20977.05,28302.78,728.85,389428.15,371955.94,17472.21,0,16371.41
Northern New England,Weekly,2/7/2021 0:00,Organic,1.34,34073.8,77.7,815.93,0,29652.78,15572.9,14079.88,0,3527.39
Orlando,Weekly,2/7/2021 0:00,Organic,0.86,17438.5,108.11,0,0,17330.39,12477.06,0,4853.33,0
Philadelphia,Weekly,2/7/2021 0:00,Organic,1.28,46746.56,1842.69,2624.03,0,37801.3,36982.21,819.09,0,4478.54
Phoenix/Tucson,Weekly,2/7/2021 0:00,Organic,1.27,36190.91,3180.58,1424.23,0,17924.27,11400,6524.27,0,13661.83
Pittsburgh,Weekly,2/7/2021 0:00,Organic,1.31,16011.97,2899.47,3.37,0,11913.25,11896.38,16.87,0,1195.88
Plains,Weekly,2/7/2021 0:00,Organic,1.11,85386.7,5353.22,2268.82,6.39,64834.17,58727.18,6106.99,0,12924.1
Portland,Weekly,2/7/2021 0:00,Organic,1.41,69217.11,657.73,10839.33,0,16600.48,2511.96,14088.52,0,41119.57
Raleigh/Greensboro,Weekly,2/7/2021 0:00,Organic,1.28,28037.75,614.57,3948.95,47.95,21788.4,21780.2,8.2,0,1637.88
Richmond/Norfolk,Weekly,2/7/2021 0:00,Organic,0.95,38550.01,13,1805.49,1.27,32965.65,27554.57,5411.08,0,3764.6
Roanoke,Weekly,2/7/2021 0:00,Organic,1.07,21264.33,16.98,1497.05,0,15508.72,9558.95,5109.77,840,4241.58
Sacramento,Weekly,2/7/2021 0:00,Organic,1.68,22857.18,3185.65,3713.47,4.03,12339.44,12339.44,0,0,3614.59
San Diego,Weekly,2/7/2021 0:00,Organic,1.83,34818.12,1095.22,1245.05,0,12246.07,7567.78,4678.29,0,20231.78
San Francisco,Weekly,2/7/2021 0:00,Organic,1.76,77032.97,2813.75,8267.23,1.5,41325.01,41325.01,0,0,24625.48
Seattle,Weekly,2/7/2021 0:00,Organic,1.23,136376.65,1321.84,19590.69,11.98,13315.16,2861.11,10454.05,0,102136.98
South Carolina,Weekly,2/7/2021 0:00,Organic,1.29,29551.02,432.44,2746.22,25.81,20652.03,16730.87,2614.49,1306.67,5694.52
South Central,Weekly,2/7/2021 0:00,Organic,1.16,247373.04,13334.56,4141.83,3444.66,153487.32,86821.69,66665.63,0,72964.67
Southeast,Weekly,2/7/2021 0:00,Organic,1.07,225048.24,1681.57,8577.69,23.4,178259.04,131533.6,27560.02,19165.42,36506.54
Spokane,Weekly,2/7/2021 0:00,Organic,1.56,8779.49,167.52,878.18,0,3095.03,1004.44,2090.59,0,4638.76
St. Louis,Weekly,2/7/2021 0:00,Organic,1.74,7400.73,795.63,996.3,0,3879.3,3879.3,0,0,1729.5
Syracuse,Weekly,2/7/2021 0:00,Organic,1.38,5651.71,238.07,199.94,0,5137.66,4837.97,299.69,0,76.04
Tampa,Weekly,2/7/2021 0:00,Organic,0.76,21523.07,103.5,0,0,21419.57,21419.57,0,0,0
Total U.S.,Weekly,2/7/2021 0:00,Organic,1.3,2674034.24,91204.2,177165.83,5416.06,1577838.73,1162584.03,379957.2,35297.5,822409.42
West,Weekly,2/7/2021 0:00,Organic,1.26,541338.48,20105.33,45025.12,1044.27,177672.96,81029.42,96643.54,0,297490.8
West Tex/New Mexico,Weekly,2/7/2021 0:00,Organic,1.21,39494.98,1438.19,907.74,2404.11,21609.24,18456.67,3152.57,0,13135.7
Albany,Weekly,2/14/2021 0:00,Conventional,0.95,157092.62,8373.52,116251.75,24,25265.77,22055.64,1293.46,1916.67,7177.58
Atlanta,Weekly,2/14/2021 0:00,Conventional,0.8,904089.45,311510.73,46100.82,34.73,214874.93,210207.47,4650.79,16.67,331568.24
Baltimore/Washington,Weekly,2/14/2021 0:00,Conventional,0.98,1291703.64,298938.86,353915.3,3560.77,493622.72,418468.47,55570.92,19583.33,141665.99
Boise,Weekly,2/14/2021 0:00,Conventional,0.96,137784.96,39721.3,9154.67,1036.74,34012.53,20441.22,13557.98,13.33,53859.72
Boston,Weekly,2/14/2021 0:00,Conventional,1.01,1178526.59,21315.36,520639.25,129.37,229243.32,221024.45,1445.54,6773.33,407199.29
Buffalo/Rochester,Weekly,2/14/2021 0:00,Conventional,0.95,237401.56,21907.09,63455.53,2567.32,143432.5,120222.82,18943.02,4266.66,6039.12
California,Weekly,2/14/2021 0:00,Conventional,1.1,7029008.6,1418081.26,758144.73,326458.78,1520281.78,1296731.32,171202.08,52348.38,3006042.05
Charlotte,Weekly,2/14/2021 0:00,Conventional,0.97,370445.48,162500.24,44168.64,4221.07,138197.99,118866.65,19314.67,16.67,21357.54
Chicago,Weekly,2/14/2021 0:00,Conventional,1.05,939245.49,135921.86,146580.55,35226.48,210568.1,207741.49,2789.94,36.67,410948.5
Cincinnati/Dayton,Weekly,2/14/2021 0:00,Conventional,0.84,361510.61,68548.61,66813.49,483.11,35259.3,33920.41,1338.89,0,190406.1
Columbus,Weekly,2/14/2021 0:00,Conventional,0.81,270364.9,51725.02,48748.68,192.41,46343.83,41744.96,4594.44,4.43,123354.96
Dallas/Ft. Worth,Weekly,2/14/2021 0:00,Conventional,0.68,2092225.95,740596.26,255441.12,15708.45,528399.98,431220.14,96629.84,550,552080.14
Denver,Weekly,2/14/2021 0:00,Conventional,0.85,1199986.44,241007.84,134840.4,2882.21,287991.98,261830.19,26118.46,43.33,533264.01
Detroit,Weekly,2/14/2021 0:00,Conventional,0.87,533296.94,93637.35,82084.49,58880.13,84734.84,83668.98,945.56,120.3,213960.13
Grand Rapids,Weekly,2/14/2021 0:00,Conventional,1.11,203743.87,18147.52,70338.1,67068.78,25921.59,25560.51,311.11,49.97,22267.88
Great Lakes,Weekly,2/14/2021 0:00,Conventional,0.88,4737720.89,855006.14,939497.25,270160.21,881758.83,842516.17,38640.42,602.24,1791298.46
Harrisburg/Scranton,Weekly,2/14/2021 0:00,Conventional,0.93,523517.03,211542.04,130623.14,122.56,166646.42,150402.54,5210.55,11033.33,14582.87
Hartford/Springfield,Weekly,2/14/2021 0:00,Conventional,1.2,483932.11,11646.01,350506.24,256.88,109136.9,99038.16,4175.41,5923.33,12386.08
Houston,Weekly,2/14/2021 0:00,Conventional,0.63,1808989.11,582726.68,287057.22,4390.33,258256.89,211037.2,27889.69,19330,676557.99
Indianapolis,Weekly,2/14/2021 0:00,Conventional,0.77,276412.06,56645.86,69894.57,416.23,56666.32,56530.19,48.88,87.25,92789.08
Jacksonville,Weekly,2/14/2021 0:00,Conventional,0.87,275685.28,138547.54,10171.53,75.02,70232.41,39688.84,30533.57,10,56658.78
Las Vegas,Weekly,2/14/2021 0:00,Conventional,0.81,507395.96,78143.53,44253.09,1156.75,153259.35,126684.7,26554.65,20,230583.24
Los Angeles,Weekly,2/14/2021 0:00,Conventional,1.07,3473995.12,536058.14,54843.43,265741.7,742366.86,567892.48,131717.36,42757.02,1874984.99
Louisville,Weekly,2/14/2021 0:00,Conventional,0.85,155066.58,24472.71,23459.61,49.11,30287.67,29749.77,533.33,4.57,76797.48
Miami/Ft. Lauderdale,Weekly,2/14/2021 0:00,Conventional,0.85,1256756.43,604878.88,48603.96,167.58,281867.33,215388.84,66458.49,20,321238.68
Midsouth,Weekly,2/14/2021 0:00,Conventional,0.92,4972535.93,1535962.56,888063.86,16901.73,1523646.28,1256548.23,215769.41,51328.64,1007961.5
Nashville,Weekly,2/14/2021 0:00,Conventional,0.83,345275.21,110684.45,24118.92,18.4,78522.34,76066.02,2456.32,0,131931.1
New Orleans/Mobile,Weekly,2/14/2021 0:00,Conventional,0.72,394805.56,158409.76,20777.27,348.98,149715.05,121665.72,14575.99,13473.34,65554.5
New York,Weekly,2/14/2021 0:00,Conventional,0.98,2902173.34,72964.24,1641054.31,1342.19,1060675.85,785603.78,261788.74,13283.33,126136.75
Northeast,Weekly,2/14/2021 0:00,Conventional,0.98,8079008.49,688116.83,3931636.91,8986.75,2531145.64,2035873.28,422975.69,72296.67,919122.36
Northern New England,Weekly,2/14/2021 0:00,Conventional,0.92,842223.86,15616.34,512359.86,111.73,99323.55,92060.22,120,7143.33,214812.38
Orlando,Weekly,2/14/2021 0:00,Conventional,0.83,712919.84,300988.88,15657.65,83.61,218857.3,134385.84,84428.13,43.33,177332.4
Philadelphia,Weekly,2/14/2021 0:00,Conventional,0.86,905649.16,169055.25,281709.22,201.08,378271.84,269833.21,100128.63,8310,76411.77
Phoenix/Tucson,Weekly,2/14/2021 0:00,Conventional,0.65,1590366.75,333084.45,277967.03,5017.48,199238.82,186329.16,12829.66,80,775058.97
Pittsburgh,Weekly,2/14/2021 0:00,Conventional,1.08,141801.45,35437.52,13038.79,9.74,52934.06,51691.84,312.22,930,40381.34
Plains,Weekly,2/14/2021 0:00,Conventional,0.84,2623977.04,965549.97,488038.52,784.92,709791.92,533523.89,164716.37,11551.66,459811.71
Portland,Weekly,2/14/2021 0:00,Conventional,1,800343.1,110265.84,96897.6,4930.19,90926.83,43834.01,37144.49,9948.33,497322.64
Raleigh/Greensboro,Weekly,2/14/2021 0:00,Conventional,0.97,483910.21,214917.42,67887.27,4648.08,170738.88,136926.96,33805.25,6.67,25718.56
Richmond/Norfolk,Weekly,2/14/2021 0:00,Conventional,0.92,370188.51,95563.54,85859.19,930.88,88099.41,64150.22,13709.19,10240,99735.49
Roanoke,Weekly,2/14/2021 0:00,Conventional,0.9,233623.82,64267.58,35741.5,67.22,51610.94,40696.93,7980.68,2933.33,81936.58
Sacramento,Weekly,2/14/2021 0:00,Conventional,0.99,558245.6,156983.26,200072.28,4383.24,114805.36,98882.17,15879.86,43.33,82001.46
San Diego,Weekly,2/14/2021 0:00,Conventional,1.14,641874.22,94884.44,28408.39,27023.98,127171.34,116650.84,3565.98,6954.52,364386.07
San Francisco,Weekly,2/14/2021 0:00,Conventional,1.32,819442.11,194853.63,165067.49,8442.8,201658.44,199909.97,1728.47,20,249419.75
Seattle,Weekly,2/14/2021 0:00,Conventional,1.15,700641.27,90187.59,91133.62,138.42,86460.1,77704.34,20.76,8735,432721.54
South Carolina,Weekly,2/14/2021 0:00,Conventional,0.89,615440.61,273372.65,45447.36,1724.06,174279.04,137168.11,37070.93,40,120617.5
South Central,Weekly,2/14/2021 0:00,Conventional,0.68,9448680.23,3205462.24,1138210.55,185486.86,2316813.66,1698690.02,488603.65,129519.99,2602706.92
Southeast,Weekly,2/14/2021 0:00,Conventional,0.82,6729407.97,2919683.76,265462.64,2541.17,1740666.95,1316442.8,411271.92,12952.23,1801053.45
Spokane,Weekly,2/14/2021 0:00,Conventional,0.97,116975.42,21133.08,12737.62,90.21,19477.68,16419.35,0,3058.33,63536.83
St. Louis,Weekly,2/14/2021 0:00,Conventional,0.72,270808.37,121871.33,12257.94,37.49,73682.82,72397.92,1281.57,3.33,62958.79
Syracuse,Weekly,2/14/2021 0:00,Conventional,0.97,111604.26,10560.65,48785.74,440.76,46958.54,40272.22,4626.32,2060,4858.57
Tampa,Weekly,2/14/2021 0:00,Conventional,0.78,711284.48,301442.05,20535,13,205432.31,123534.77,81890.87,6.67,183862.12
Total U.S.,Weekly,2/14/2021 0:00,Conventional,0.88,52631190.59,13467596.03,9528025.22,836373.17,13011662.43,10452019.03,2155005.24,404638.16,15787533.74
West,Weekly,2/14/2021 0:00,Conventional,0.84,9010851.45,1879733.27,1118970.75,25052.74,1787557.38,1471693.34,241825.71,74038.33,4199537.31
West Tex/New Mexico,Weekly,2/14/2021 0:00,Conventional,0.66,1339312.56,451412.84,128198.3,9562.84,431099.98,316359.3,114694.02,46.66,319038.6
Albany,Weekly,2/14/2021 0:00,Organic,1.26,3809.57,53.49,343.66,0,3227.48,2018.08,1209.4,0,184.94
Atlanta,Weekly,2/14/2021 0:00,Organic,1.39,43690.01,76.55,2892.86,0,21130.12,9567.38,11562.74,0,19590.48
Baltimore/Washington,Weekly,2/14/2021 0:00,Organic,1.14,99296.28,500.55,4144.13,0,92288.06,88898.03,3390.03,0,2363.54
Boise,Weekly,2/14/2021 0:00,Organic,1.47,8335.78,15.03,768.66,0,2916.96,1648.89,1268.07,0,4635.13
Boston,Weekly,2/14/2021 0:00,Organic,1.63,53620.07,138.69,2454.28,0,50758.51,49110.01,1648.5,0,268.59
Buffalo/Rochester,Weekly,2/14/2021 0:00,Organic,1.41,16801.62,897.81,98.04,0,15805.77,15805.77,0,0,0
California,Weekly,2/14/2021 0:00,Organic,1.71,380726.15,22298.92,26146.01,18.73,177902.5,125479.01,52423.49,0,154359.99
Charlotte,Weekly,2/14/2021 0:00,Organic,1.38,20987.1,62.87,4098.38,46.53,14675.49,14675.49,0,0,2103.83
Chicago,Weekly,2/14/2021 0:00,Organic,1.18,106275.52,957.94,16934.06,0,24767.05,11993.92,12773.13,0,63616.47
Cincinnati/Dayton,Weekly,2/14/2021 0:00,Organic,1.45,26116.29,596.98,3140.26,0,7609.24,2254.39,5354.85,0,14769.81
Columbus,Weekly,2/14/2021 0:00,Organic,1.3,16092.32,763.77,1022.91,0,8371.91,2966.55,5405.36,0,5933.73
Dallas/Ft. Worth,Weekly,2/14/2021 0:00,Organic,1.16,107191.74,4449.36,2045.15,517.26,51368.07,27069.68,24298.39,0,48811.9
Denver,Weekly,2/14/2021 0:00,Organic,1.11,63905.51,4537.66,829.62,0,30816.53,11612.22,19204.31,0,27721.7
Detroit,Weekly,2/14/2021 0:00,Organic,1.27,28230.83,240.92,2480.99,0,15838.56,6244.44,9594.12,0,9670.36
Grand Rapids,Weekly,2/14/2021 0:00,Organic,1.06,10313.98,29.98,885.24,0,9398.76,8827.64,571.12,0,0
Great Lakes,Weekly,2/14/2021 0:00,Organic,1.24,310950.57,6237.1,33879.08,0,146250.2,84386.75,61732.2,131.25,124584.19
Harrisburg/Scranton,Weekly,2/14/2021 0:00,Organic,1.16,24818.32,898.04,682.96,0,23234.23,23162.66,71.57,0,3.09
Hartford/Springfield,Weekly,2/14/2021 0:00,Organic,1.77,24863.98,282.56,9159.14,0,15390.84,15390.84,0,0,31.44
Houston,Weekly,2/14/2021 0:00,Organic,1.18,48879.38,4982.78,391.65,0,19461.42,1497.78,17963.64,0,24043.53
Indianapolis,Weekly,2/14/2021 0:00,Organic,1.26,14383.07,209.42,1043.68,0,8570.91,3673.9,4897.01,0,4559.06
Jacksonville,Weekly,2/14/2021 0:00,Organic,1,6448.51,62.84,245.53,0,6006.36,2637.61,0,3368.75,133.78
Las Vegas,Weekly,2/14/2021 0:00,Organic,1.36,18986.46,725.21,343.78,0,8781.83,4658.89,4122.94,0,9135.64
Los Angeles,Weekly,2/14/2021 0:00,Organic,1.62,172982.1,6394.22,3674.8,12.63,72858.11,26926.66,45931.45,0,90042.34
Louisville,Weekly,2/14/2021 0:00,Organic,1.33,10524.76,4.7,702.41,0,5654.32,315.25,4259.9,1079.17,4163.33
Miami/Ft. Lauderdale,Weekly,2/14/2021 0:00,Organic,0.96,21945.34,450.77,1.33,0,21493.24,19967.82,0,1525.42,0
Midsouth,Weekly,2/14/2021 0:00,Organic,1.2,350144.76,2515.88,27495.04,170.66,273229.32,214671.64,43318.5,15239.18,46733.86
Nashville,Weekly,2/14/2021 0:00,Organic,1.28,22619.59,44.08,1405.59,0,13243.57,1832.36,7406.63,4004.58,7926.35
New Orleans/Mobile,Weekly,2/14/2021 0:00,Organic,1.14,11789.73,79.55,260.49,0,6876.61,2933.48,3943.13,0,4573.08
New York,Weekly,2/14/2021 0:00,Organic,1.52,121411.34,10871.83,8768.79,723.81,97308.3,97308.3,0,0,3738.61
Northeast,Weekly,2/14/2021 0:00,Organic,1.47,368777.13,19325.61,29497.27,628.1,306704.21,289367.01,17337.2,0,12621.94
Northern New England,Weekly,2/14/2021 0:00,Organic,1.41,33393.28,87.09,740.72,0,29185.92,15552.44,13633.48,0,3379.55
Orlando,Weekly,2/14/2021 0:00,Organic,0.96,15901.87,93.58,0,0,15808.29,10552.46,0,5255.83,0
Philadelphia,Weekly,2/14/2021 0:00,Organic,1.35,36550.7,1844.49,3468.32,0,27862.59,27034.11,828.48,0,3375.3
Phoenix/Tucson,Weekly,2/14/2021 0:00,Organic,1.28,32143.14,4181.88,2321.55,0,17454.59,10145.56,7309.03,0,8185.12
Pittsburgh,Weekly,2/14/2021 0:00,Organic,1.3,15323.42,2271.23,5.05,0,11704.78,11693.55,11.23,0,1342.36
Plains,Weekly,2/14/2021 0:00,Organic,1.1,79078.74,4958.74,1676.07,10.65,61032.47,55681.22,5351.25,0,11400.81
Portland,Weekly,2/14/2021 0:00,Organic,1.41,64251.63,405,9870.48,0,15536.75,2980.76,12555.99,0,38439.4
Raleigh/Greensboro,Weekly,2/14/2021 0:00,Organic,1.34,27009.51,833.14,3953.24,70,20428.34,20428.34,0,0,1724.79
Richmond/Norfolk,Weekly,2/14/2021 0:00,Organic,0.99,35196.71,3.8,1775.5,16.46,30565.6,27633.02,2932.58,0,2835.35
Roanoke,Weekly,2/14/2021 0:00,Organic,1.1,19027.19,24.01,1327.71,0,13990.5,9103.89,4125.36,761.25,3684.97
Sacramento,Weekly,2/14/2021 0:00,Organic,1.56,25493.09,4173.02,3655.98,5.37,13727.86,13727.86,0,0,3930.86
San Diego,Weekly,2/14/2021 0:00,Organic,1.81,33567.27,1016.79,1678.52,0,12551.51,7106.67,5444.84,0,18320.45
San Francisco,Weekly,2/14/2021 0:00,Organic,1.87,75433.66,3460.06,7072.44,0,43635.46,43635.46,0,0,21265.7
Seattle,Weekly,2/14/2021 0:00,Organic,1.29,118330.02,1261.62,16452.79,98.77,13519.91,2717.77,10802.14,0,86996.93
South Carolina,Weekly,2/14/2021 0:00,Organic,1.34,29955.85,627.31,3103.74,64.34,20820.75,17024.01,2580.49,1216.25,5339.71
South Central,Weekly,2/14/2021 0:00,Organic,1.18,376712.04,16686.61,7214.91,4377.74,179802.62,93491.25,86311.37,0,168630.16
Southeast,Weekly,2/14/2021 0:00,Organic,1.17,198488.63,2202.93,8264.26,57.98,153724.2,109226.32,24994.13,19503.75,34239.26
Spokane,Weekly,2/14/2021 0:00,Organic,1.57,9195.07,109.25,884.02,0,3121.31,1090,2031.31,0,5080.49
St. Louis,Weekly,2/14/2021 0:00,Organic,1.62,6538.18,691.13,734.5,0,3915.69,3915.69,0,0,1196.86
Syracuse,Weekly,2/14/2021 0:00,Organic,1.37,5171.01,252.7,95.06,0,4750.36,4366.57,383.79,0,72.89
Tampa,Weekly,2/14/2021 0:00,Organic,0.93,14957.33,126.56,0,0,14830.77,14827.44,3.33,0,0
Total U.S.,Weekly,2/14/2021 0:00,Organic,1.33,2549385.31,95211.95,175707.92,6742.71,1467828.96,1052070.52,380884.26,34874.18,803893.77
West,Weekly,2/14/2021 0:00,Organic,1.32,484507.25,20986.17,41535.27,1478.86,169183.41,79767.3,89416.11,0,251323.54
West Tex/New Mexico,Weekly,2/14/2021 0:00,Organic,1.26,35142.62,1743.71,778.56,3038.35,20847.65,17600,3247.65,0,8734.35
Albany,Weekly,2/21/2021 0:00,Conventional,0.99,162020.12,7798.41,120121.56,39.81,27028.81,23479.51,1342.63,2206.67,7031.53
Atlanta,Weekly,2/21/2021 0:00,Conventional,0.85,884980.68,375980.05,35659.51,99.5,187319.87,185056.89,2222.98,40,285921.75
Baltimore/Washington,Weekly,2/21/2021 0:00,Conventional,1.08,1093176.89,263099.11,326679.65,4217.22,389953.58,352910.72,16066.19,20976.67,109227.33
Boise,Weekly,2/21/2021 0:00,Conventional,0.85,157611.94,39530.56,9486.93,990.22,32226.74,20906.72,11310.02,10,75377.49
Boston,Weekly,2/21/2021 0:00,Conventional,1.17,910216.32,18942.56,459086.71,206.64,229124.18,220618.33,1712.52,6793.33,202856.23
Buffalo/Rochester,Weekly,2/21/2021 0:00,Conventional,0.98,228592.6,20178.76,63742.63,2666.65,135153.07,119839.18,10973.89,4340,6851.49
California,Weekly,2/21/2021 0:00,Conventional,1.14,7149620.35,1420784.52,785967.44,137761.98,1456533.97,1188658.37,213784.07,54091.53,3348572.44
Charlotte,Weekly,2/21/2021 0:00,Conventional,1.01,387011.64,179570.06,53823.61,4669.86,127422.71,107082.48,20336.9,3.33,21525.4
Chicago,Weekly,2/21/2021 0:00,Conventional,1.24,883635.19,120159.37,122834.81,35885.98,237485.1,235843.99,1571.28,69.83,367269.93
Cincinnati/Dayton,Weekly,2/21/2021 0:00,Conventional,0.86,344528.53,56369.46,65724.55,420.1,38301.77,38011.48,275.56,14.73,183712.65
Columbus,Weekly,2/21/2021 0:00,Conventional,0.83,289926.62,51055.37,48060.92,176.11,52710.59,52255.03,455.56,0,137923.63
Dallas/Ft. Worth,Weekly,2/21/2021 0:00,Conventional,0.68,1352586.57,431600.64,156829.46,6078.47,430696.88,250360.28,180136.6,200,327381.12
Denver,Weekly,2/21/2021 0:00,Conventional,0.89,1152235.79,196067.06,164738.12,3139.31,254496.92,227885.66,26584.59,26.67,533794.38
Detroit,Weekly,2/21/2021 0:00,Conventional,0.89,611454.41,87963.97,89545.99,39667.61,127766.7,127150.37,527.78,88.55,266510.14
Grand Rapids,Weekly,2/21/2021 0:00,Conventional,1.23,208871.63,17498.01,69425.33,46069.9,57996.62,57920.82,27.78,48.02,17881.77
Great Lakes,Weekly,2/21/2021 0:00,Conventional,0.95,4887042.07,784308.17,921439.27,196902.05,1080954.34,1053759.17,26699.18,495.99,1903438.24
Harrisburg/Scranton,Weekly,2/21/2021 0:00,Conventional,0.93,471898.04,179965.86,121039.08,93.84,156822.98,146668.11,828.2,9326.67,13976.28
Hartford/Springfield,Weekly,2/21/2021 0:00,Conventional,1.23,444970.49,10330.7,322967.69,217.17,100114.15,83228.03,10789.45,6096.67,11340.78
Houston,Weekly,2/21/2021 0:00,Conventional,0.67,1167916.82,451847.49,179521.39,3012.84,149358.41,108765.21,28216.53,12376.67,384176.69
Indianapolis,Weekly,2/21/2021 0:00,Conventional,0.81,299304.99,53410.69,72576.78,580.01,61745.13,61679.89,33.33,31.91,110992.38
Jacksonville,Weekly,2/21/2021 0:00,Conventional,0.87,294515.7,132693.9,11534.42,130.43,65277.73,39229.34,26048.39,0,84879.22
Las Vegas,Weekly,2/21/2021 0:00,Conventional,0.88,421622.98,72555.9,41943.13,114.77,141101.78,99903.12,41178.66,20,165907.4
Los Angeles,Weekly,2/21/2021 0:00,Conventional,1.04,3505062.91,582270.82,78195.51,105936.5,735036.55,537296.48,153433.62,44306.45,2003623.53
Louisville,Weekly,2/21/2021 0:00,Conventional,0.89,114299.78,22341.13,13929.97,33.09,30760.36,30629.25,127.78,3.33,47235.23
Miami/Ft. Lauderdale,Weekly,2/21/2021 0:00,Conventional,0.85,1346258.23,693913.76,54414.15,179.09,287200.63,222866.39,64297.57,36.67,310550.6
Midsouth,Weekly,2/21/2021 0:00,Conventional,0.97,4519408.7,1533350.07,833737.72,18653.25,1321153.77,1114473.27,157456.61,49223.89,812513.89
